"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
24C0001118,NORTHERN LAKES SURGERY CENTER LLC,4791 COUNTY ROAD 10,MOOSE LAKE,MN,55767,,(218) 509-2100,99,1,0,100,96,3,1,97,92,6,2,96,93,6,1,97,,1054,513,49,01/01/2024,12/31/2024
25C0001004,LOWERY A WOODALL OUTPATIENT SURGERY FACILITY LLC,105 SOUTH 28TH AVE,HATTIESBURG,MS,39401,,(601) 579-3400,96,4,0,98,90,9,1,95,91,9,0,97,85,12,3,93,"3,6",379,71,19,01/01/2024,12/31/2024
25C0001014,OXFORD EYE SURGERY CENTER LP,2604 SOUTH LAMAR BOULEVARD,OXFORD,MS,38655,,(662) 234-6621,,,,,,,,,,,,,,,,,1,,,,,
25C0001028,SOUTHERN SURGERY CENTER,3688 VETERANS MEMORIAL DR SUITE 100,HATTIESBURG,MS,39401,,(601) 554-7533,98,2,0,99,94,5,1,96,92,7,1,96,94,5,1,97,,2271,776,35,01/01/2024,12/31/2024
25C0001031,ENDOSCOPY CENTER OF NORTH MISSISSIPPILLC,1206 OFFICE PARK DR,OXFORD,MS,38655,,(662) 236-1768,98,2,0,99,96,3,1,97,93,6,1,97,93,4,3,96,3,831,192,23,01/01/2024,12/31/2024
25C0001035,MISSISSIPPI COAST ENDOSCOPY AND AMBULATORY CENTER LLC,2406 CATALPA AVE,PASCAGOULA,MS,39567,,(228) 696-0818,97,3,0,99,93,6,1,96,88,10,2,95,86,12,2,94,3,676,113,17,01/01/2024,12/31/2024
25C0001036,OCEAN SPRING SURGICAL AND ENDOSCOPY CENTER,3301 BIENVILLE BLVD,OCEAN SPRINGS,MS,39564,,(228) 872-8854,97,3,0,99,96,3,1,97,92,6,2,96,94,4,2,97,3,583,140,24,01/01/2024,12/31/2024
25C0001037,HATTIESBURG CLINIC AMBULATORY SURGERY CENTER,415 SOUTH 28TH AVE,HATTIESBURG,MS,39401,,(601) 579-5075,99,1,0,99,93,5,2,96,87,11,2,94,88,10,2,94,"3,6",422,92,22,01/01/2024,12/31/2024
25C0001046,COLUMBUS ORTHOPAEDIC OUTPATIENT CENTER,640 LEIGH DR,COLUMBUS,MS,39705,,(662) 328-7123,98,2,0,99,94,5,1,96,91,9,0,96,89,9,2,95,,1440,379,26,01/01/2024,12/31/2024
25C0001058,CENTER FOR DIGESTIVE HEALTH LLC,589 GARFIELD ST,TUPELO,MS,38801,,(662) 377-4173,97,3,0,99,91,7,2,94,89,9,2,95,89,9,2,95,,1966,425,22,01/01/2024,12/31/2024
25C0001069,G I DIAGNOSTIC AND THERAPEUTIC CENTER LLC,"7668 AIRWAYS BLVD, BUILDING # 2",SOUTHAVEN,MS,38671,,(662) 349-6950,97,3,0,98,91,7,2,94,89,9,2,95,90,9,1,96,,1203,263,22,01/01/2024,12/31/2024
25C0001079,OXFORD UROCARE PLLC,1201 MEDICAL PARK DR. STE. 101,OXFORD,MS,38655,,(662) 234-5100,97,3,0,98,95,4,1,97,89,11,0,96,96,4,0,99,"3,10",180,39,23,01/01/2024,12/31/2024
25C0001081,THE SURGERY CENTER DBA ADVANCED SURGICAL CARE,2466 FLOWOOD DR SUITE A,FLOWOOD,MS,39232,,(601) 326-9393,99,1,0,99,96,4,0,98,97,3,0,98,94,5,1,97,"3,6",261,84,32,01/01/2024,12/31/2024
25C0001091,UROLOGIC AMBULATORY SURGERY CENTER,3353 NORTH GLOSTER ST,TUPELO,MS,38804,,(662) 432-0753,96,4,0,98,92,7,1,96,88,11,1,95,91,6,3,96,3,774,223,29,01/01/2024,12/31/2024
25C0001092,HATTIESBURG CLINIC PA NEPHROLOGY VASCULAR ACCESS,5909 HWY 49 SOUTH 14,HATTIESBURG,MS,39402,,(601) 296-2821,98,2,0,99,91,5,4,94,93,6,1,97,84,15,1,94,"3,10",261,48,19,01/01/2024,12/31/2024
25C0001097,SPECIALTY SURGERY & LASER CENTER,306 BRADLEY ROAD SUITE A,CORINTH,MS,38834,,(000) 000-0000,99,1,0,99,97,3,0,99,97,2,1,98,94,6,0,98,"3,6",230,87,38,01/01/2024,12/31/2024
25C0001102,AMBULATORY CARDIOVASCULAR CENTER OF MISSISSIPPI,415 SOUTH 28TH AVENUE 3RD FLOOR,HATTIESBURG,MS,39401,,(601) 579-5463,97,1,2,98,93,5,2,96,88,9,3,95,79,15,6,89,"3,10",131,30,23,01/01/2024,12/31/2024
26C0001021,CREEKWOOD SURGERY CENTER LP,211 NORTHEAST 54TH ST SUITE 100,KANSAS CITY,MO,64118,,(816) 988-2553,96,3,1,98,92,6,2,95,92,7,1,96,91,8,1,96,,760,227,30,01/01/2024,12/31/2024
26C0001028,SAINT LUKES GI DIAGNOSTICS LLC,4321 WASHINGTON STE. 5600,KANSAS CITY,MO,64111,,(816) 416-8353,97,3,0,98,91,7,2,95,85,14,1,94,82,16,2,93,,1069,236,22,01/01/2024,12/31/2024
26C0001038,THE ENDOSCOPY CENTER EAST,3800 SOUTH WHITNEY AVE SUITE 100,INDEPENDENCE,MO,64055,,(816) 478-4887,98,2,0,99,93,6,1,96,91,8,1,96,87,11,2,94,3,423,107,25,01/01/2024,12/31/2024
26C0001041,THE ENDOSCOPY CENTER CONSULTANTS IN GASTROENTEROLOGY,5330 NORTH OAK TRAFFICWAY SUITE 100,KANSAS CITY,MO,64118,,(816) 478-4887,97,2,1,98,96,4,0,98,98,1,1,97,92,5,3,95,3,421,126,30,01/01/2024,12/31/2024
26C0001060,SOUTH COUNTY OUTPATIENT ENDOSCOPY SERVICES LP,5139 MATTIS ROAD SUITE 100,ST LOUIS,MO,63128,,(314) 729-9780,98,2,0,99,92,7,1,96,95,4,1,97,90,8,2,96,,1271,469,37,01/01/2024,12/31/2024
26C0001061,MANCHESTER AMBULATORY SURGERY CENTER LP DBA DES PERES SQUARE SURGERY CENTER,1050 OLD DES PERES RD SUITE 150,SAINT LOUIS,MO,63131,,(314) 775-2264,98,2,0,99,92,6,2,95,87,12,1,94,85,14,1,94,,839,246,29,01/01/2024,12/31/2024
26C0001066,MIDWEST DIGESTIVE HEALTH CENTER LLC,3601 NORTHEAST RALPH POWELL RD,LEES SUMMIT,MO,64064,,(816) 251-1255,98,2,0,99,93,6,1,96,94,5,1,97,93,6,1,97,,1243,325,26,01/01/2024,12/31/2024
26C0001069,BRIARCLIFF AMBULATORY SURGERY CENTER LP DBA BRIARCLIFF SURGERY CENTER,4150 NORTH MULBERRY DR SUITE 100,KANSAS CITY,MO,64116,,(816) 214-4364,97,3,0,98,93,6,1,96,93,5,2,96,88,9,3,95,,822,211,26,01/01/2024,12/31/2024
26C0001075,ST JOSEPH CENTER FOR OUTPATIENT SURGERY LLC,4510 FREDERICK BLVD,ST JOSEPH,MO,64506,,(816) 364-9992,,,,,,,,,,,,,,,,,1,,,,,
26C0001080,MID RIVERS SURGERY CENTER,5401 VETERANS MEMOIRAL PARKWAY,ST PETERS,MO,63376,,(636) 441-0906,96,3,1,97,93,6,1,96,87,11,2,95,84,14,2,94,"3,6",147,54,37,01/01/2024,12/31/2024
26C0001082,CHESTERFIELD SURGERY CENTER,17050 BAXTER RD SUITE 110,CHESTERFIELD,MO,63005,,(636) 537-0122,98,2,0,99,95,4,1,97,91,8,1,96,88,11,1,96,,718,217,30,01/01/2024,12/31/2024
26C0001087,ADVANCED AMBULATORY SURGICAL CARE LP,"10448 OLD OLIVE ST RD, SUITE 100",CREVE COEUR,MO,63141,,(314) 743-8091,97,2,1,98,91,8,1,95,85,13,2,94,84,14,2,94,,686,187,27,01/01/2024,12/31/2024
26C0001088,SURGERY CENTER OF COLUMBIA LP,305 NORTH KEENE ST SUITE 107,COLUMBIA,MO,65201,,(573) 256-6272,99,1,0,99,95,4,1,97,91,9,0,96,89,9,2,95,,517,173,33,01/01/2024,12/31/2024
26C0001091,ADVANCED ENDOSCOPY CENTER,"11525 OLDE CABIN RD, SUITE 101",CREVE COEUR,MO,63141,,(314) 400-9999,99,1,0,100,93,6,1,96,96,2,2,96,91,7,2,96,"3,6",232,65,28,01/01/2024,12/31/2024
26C0001095,SAINT LUKES SURGICENTER LEES SUMMIT,120 NORTHEAST SAINT LUKES BLVD,LEES SUMMIT,MO,64086,,(816) 347-5800,97,2,1,98,90,8,2,94,91,8,1,96,91,5,4,95,"3,6",372,85,25,01/01/2024,12/31/2024
26C0001097,RIVERSIDE AMBULATORY SURGERY CENTER,100 VILLAGE SQUARE,HAZELWOOD,MO,63042,,(314) 373-8931,97,2,1,98,95,4,1,97,90,8,2,95,88,10,2,95,,1382,314,23,01/01/2024,12/31/2024
26C0001098,THE ENDOSCOPY CENTER LIBERTY,9601 NORTHEAST 79TH ST,KANSAS CITY,MO,64158,,(816) 478-4887,99,1,0,100,93,6,1,96,90,10,0,96,91,8,1,96,3,408,134,33,01/01/2024,12/31/2024
26C0001103,CEDAR OAKS SURGERY CENTER LLC,706 BURKARTH RD,WARRENSBURG,MO,64093,,(660) 747-8868,98,2,0,99,94,5,1,96,93,7,0,97,91,9,0,97,"3,6",169,69,41,01/01/2024,12/31/2024
26C0001109,WEBSTER AMBULATORY SURGERY CENTER LP DBA LANDMARK SURGERY CENTER,9701 LANDMARK PARKWAY DR SUITE 100,SAINT LOUIS,MO,63127,,(314) 729-0100,99,1,0,99,92,6,2,95,90,9,1,96,85,14,1,95,,732,173,24,01/01/2024,12/31/2024
26C0001112,FRONTENAC AMBULATORY SURGERY AND SPINE CARE CENTER LP,10435 CLAYTON ROAD SUITE 110,FRONTENAC,MO,63131,,(314) 995-3990,97,2,1,98,92,7,1,95,89,8,3,95,84,14,2,94,,1089,236,22,01/01/2024,12/31/2024
26C0001116,MASON RIDGE AMBULATORY SURGERY CENTER DBA GATEWAY ENDOSCOPY CENTER,12855 NORTH FORTY DR SUITE 150,SAINT LOUIS,MO,63141,,(314) 336-1130,99,1,0,99,94,5,1,97,96,4,0,98,94,5,1,98,,937,318,34,01/01/2024,12/31/2024
26C0001117,TWIN CITIES AMBULATORY SURGERY CENTER LP,1101 W. GANNON DR.,FESTUS,MO,63028,,(636) 931-5997,97,3,0,99,93,6,1,96,86,12,2,94,85,13,2,94,,587,194,33,01/01/2024,12/31/2024
26C0001134,32ND STREET SURGERY CENTER LLC,"1531 EAST 32ND ST, SUITE 6",JOPLIN,MO,64804,,(417) 627-9699,97,3,0,98,93,6,1,96,91,8,1,96,87,9,4,94,3,516,159,31,01/01/2024,12/31/2024
26C0001138,OLD TESSON SURGERY CENTER,12639 OLD TESSON SUITE 130,ST. LOUIS,MO,63128,,(314) 748-4225,98,2,0,99,93,5,2,96,89,10,1,96,85,14,1,95,,636,252,40,01/01/2024,12/31/2024
26C0001146,FSC INVESTMENTS LLC,8453 N. LINDBERGH BLVD,FLORISSANT,MO,63031,,(314) 736-1080,99,1,0,99,95,4,1,97,92,7,1,96,89,8,3,94,"3,6",201,74,37,01/01/2024,12/31/2024
26C0001148,EMERSON SURGERY CENTER LLC,"633 EMERSON RD, SUITE 140",ST LOUIS,MO,63141,,(314) 991-9922,98,2,0,99,94,5,1,97,94,6,0,97,90,10,0,96,,773,208,27,01/01/2024,12/31/2024
26C0001153,HEART CARE CENTER LLC,450 NORTH NEW BALLAS ROAD SUITE 206-S,SAINT LOUIS,MO,63141,,(314) 991-6969,,,,,,,,,,,,,,,,,1,,,,,
26C0001157,OLIVE AMBULATORY SURGERY CENTER DBA NORTH CAMPUS SURGERY CENTER,633 EMERSON RD SUITE 120,SAINT LOUIS,MO,63141,,(314) 991-2090,94,5,1,97,88,7,5,91,86,11,3,93,82,15,3,92,,569,119,21,01/01/2024,12/31/2024
26C0001162,TOTAL JOINT CENTER OF THE NORTHLAND,200 NORTHEAST 54TH ST SUITE 200,KANSAS CITY,MO,64118,,(816) 499-8500,99,1,0,99,94,5,1,97,92,7,1,97,91,7,2,96,,478,233,49,01/01/2024,12/31/2024
26C0001169,BLACK RIVER AMBULATORY SURGERY CENTER,219 PHYSICIANS PARK DRIVE,POPLAR BLUFF,MO,63901,,(000) 000-0000,,,,,,,,,,,,,,,,,1,,,,,
26C0001171,BEACON SURGERY CENTER,2861 NORTHEAST INDEPENDENCE AVE SUITE 101,LEES SUMMIT,MO,64064,,(816) 579-1500,98,2,0,99,94,6,0,97,95,5,0,97,93,7,0,98,"3,6",244,85,35,01/01/2024,12/31/2024
26C0001172,ST. LUKE'S SURGERY CENTER OF CHESTERFIELD,111 ST. LUKE'S CENTRE DR,CHESTERFIELD,MO,63017,,(314) 798-7100,97,3,0,99,95,5,0,97,94,6,0,97,90,10,0,97,"3,6",259,67,26,01/01/2024,12/31/2024
26C0001175,WENTZVILLE SURGERY CENTER LLC,982 WENTZVILLE PARKWAY,WENTZVILLE,MO,63385,,(314) 560-5069,100,0,0,100,96,3,1,98,99,1,0,98,96,4,0,99,3,444,116,26,01/01/2024,12/31/2024
26C0001179,SAINT LUKES NORTH SURGERY CENTER DBA SAINT LUKES SHOAL CREEK SURGERY CENTER,8660 NORTHEAST 82ND TERRACE SUITE 100,KANSAS CITY,MO,64158,,(816) 437-8101,98,2,0,99,99,1,0,99,98,2,0,97,90,10,0,97,"3,10",72,27,38,01/01/2024,12/31/2024
27C0001010,ROCKY MOUNTAIN EYE SURGERY CENTER INC,700 W. KENT,MISSOULA,MT,59801,,(406) 541-4165,98,2,0,99,90,9,1,95,90,9,1,96,89,9,2,95,"3,6",128,61,48,01/01/2024,12/31/2024
27C0001012,PROVIDENCE SURGERY CENTER,902 NORTH ORANGE ST.,MISSOULA,MT,59802,,(406) 327-3301,98,2,0,99,98,2,0,100,88,12,0,97,93,7,0,98,"3,10",141,47,35,01/01/2024,12/31/2024
27C0001013,BIG SKY SURGERY CENTER LLC,8233 FORT MISSOULA RD,MISSOULA,MT,59804,,(406) 542-6559,98,2,0,99,92,5,3,95,91,7,2,96,90,8,2,95,"3,6",291,66,23,01/01/2024,12/31/2024
27C0001014,HELENA SURGICENTER LLC,2440 WINNE AVE,HELENA,MT,59601,,(406) 457-4202,98,2,0,99,92,7,1,95,89,9,2,94,93,5,2,96,"3,10",131,47,36,01/01/2024,12/31/2024
27C0001017,SUMMIT SURGERY CENTER LLC,434 SOUTH CLARK ST.,BUTTE,MT,59701,,(406) 496-3550,99,1,0,99,97,3,0,98,92,7,1,97,86,11,3,93,3,255,109,43,01/01/2024,12/31/2024
27C0001020,YELLOWSTONE SURGERY CENTER LLC,1144 N. 28TH ST.,BILLINGS,MT,59101,,(406) 237-5900,99,1,0,100,92,7,1,96,93,6,1,96,92,8,0,97,,777,235,30,01/01/2024,12/31/2024
27C0001022,KALISPELL REGIONAL MEDICAL CENTER INC,111 SUNNYVIEW LANE,KALISPELL,MT,59901,,(406) 257-6700,98,2,0,99,93,5,2,96,91,8,1,96,85,13,2,94,,1059,210,20,01/01/2024,12/31/2024
27C0001026,KALISPELL REGIONAL MEDICAL CENTER INC DBA POLSON HEALTH OUTPATIENT CENTER,106 RIDGEWATER DR SUITE B,POLSON,MT,59860,,(406) 883-1911,98,1,1,99,96,4,0,98,89,6,5,94,88,9,3,94,,515,107,21,01/01/2024,12/31/2024
27C0001028,YELLOWSTONE SURGERY CENTER LLC DBA YELLOWSTONE SURGERY CENTER WEST,1739 SPRING CREEK DRIVE,BILLINGS,MT,59102,,(000) 000-0000,99,1,0,99,91,8,1,95,92,7,1,96,91,8,1,96,,791,356,45,01/01/2024,12/31/2024
27C0001029,WEST BOZEMAN SURGERY CENTER LLC DBA BOZEMAN OUTPATIENT SURGERY CENTER,875 SOUTH COTTONWOOD ROAD SUITE 100,BOZEMAN,MT,59718,,(000) 000-0000,97,3,0,98,91,8,1,95,87,10,3,94,83,13,4,92,,819,250,31,01/01/2024,12/31/2024
27C0001031,COPPER CITY SURGERY CENTER,2760 ELIZABETH WARREN AVENUE,BUTTE,MT,59701,,(406) 491-3413,98,2,0,99,88,8,4,92,92,5,3,96,96,3,1,98,"3,10",98,48,49,01/01/2024,12/31/2024
28C0001020,NEBRASKA SURGERY CENTER LLC,625 SOUTH 70TH ST,LINCOLN,NE,68510,,(402) 484-6600,98,2,0,99,95,4,1,97,94,5,1,97,91,8,1,97,3,1067,345,32,01/01/2024,12/31/2024
28C0001025,MIDWEST EYE SURGERY CENTER LLC,4353 DODGE ST.,OMAHA,NE,68131,,(402) 552-2883,98,2,0,99,95,4,1,97,89,8,3,94,87,12,1,95,3,471,122,26,01/01/2024,12/31/2024
28C0001028,KEARNEY AMBULATORY SURGICAL CENTER LLC DBA HEARTLAND SURGERY CENTER,3515 30TH AVE,KEARNEY,NE,68845,,(308) 865-2670,99,1,0,99,94,5,1,97,94,5,1,97,93,6,1,97,3,368,116,32,01/01/2024,12/31/2024
28C0001032,NORTH PLATTE SURGERY CENTER LLC,621 WEST FRANCIS ST,NORTH PLATTE,NE,69101,,(308) 534-5400,98,2,0,99,94,5,1,97,88,9,3,94,83,15,2,94,,1225,380,31,01/01/2024,12/31/2024
28C0001056,PACIFIC SURGERY CENTER,10707 PACIFIC ST SUITE 100,OMAHA,NE,68114,,(402) 932-6602,98,2,0,99,90,7,3,94,88,12,0,97,86,13,1,95,"3,6",197,55,28,01/01/2024,12/31/2024
29C0001005,SURGERY CENTER OF RENO,343 ELM ST SUITE 100,RENO,NV,89503,,(775) 336-6952,97,3,0,98,90,8,2,94,90,9,1,95,86,13,1,94,,1051,269,26,01/01/2024,12/31/2024
29C0001026,DIGESTIVE HEALTH CENTER,5250 KIETZKE LANE,RENO,NV,89511,,(775) 770-2717,95,4,1,97,86,10,4,91,84,12,4,92,83,16,1,93,"3,6",402,84,21,01/01/2024,12/31/2024
29C0001036,PARKWAY SURGERY CENTER,100 NORTH GREEN VALLEY PARKWAY SUITE 125,HENDERSON,NV,89074,,(702) 616-4950,96,4,0,98,91,7,2,95,87,10,3,94,85,13,2,94,,1044,235,23,01/01/2024,12/31/2024
29C0001038,LAKE TAHOE SURGERY CENTER,212 ELKS POINT RD SUITE 201,ZEPHYR COVE,NV,89448,,(775) 588-9188,98,2,0,99,93,5,2,96,92,6,2,96,90,8,2,96,,525,174,33,01/01/2024,12/31/2024
29C0001043,TENAYA SURGICAL CENTER LLC,2800 N. TENAYA WAY STE. 101,LAS VEGAS,NV,89128,,(702) 838-7755,95,5,0,97,89,9,2,93,86,14,0,95,94,4,2,97,"3,10",173,41,25,01/01/2024,12/31/2024
29C0001066,EYE SURGERY CENTER OF NORTHERN NEVADA,5420 KIETZKE LANE SUITE 106,RENO,NV,89511,,(775) 851-2444,97,3,0,98,90,7,3,93,89,8,3,95,89,7,4,94,3,416,142,34,01/01/2024,12/31/2024
29C0001067,RENO ORTHOPAEDIC SURGERY CENTER LLC,"350 WEST 6TH ST, 3RD FLOOR",RENO,NV,89503,,(775) 786-3040,97,3,0,99,93,5,2,95,91,8,1,97,95,5,0,98,"3,6",259,72,28,01/01/2024,12/31/2024
29C0001073,DURANGO OUTPATIENT SURGERY CENTER,8530 WEST SUNSET RD SUITE 100,LAS VEGAS,NV,89113,,(702) 789-5700,99,1,0,99,93,6,1,96,91,7,2,96,87,12,1,95,,913,148,16,01/01/2024,12/31/2024
29C0001076,CORONADO SURGERY CENTER,2779 WEST HORIZON RIDGE PARKWAY SUITE 140,HENDERSON,NV,89052,,(702) 589-9250,98,2,0,99,92,7,1,96,95,5,0,98,90,6,4,94,"3,6",131,51,39,01/01/2024,12/31/2024
29C0001102,PARKWAY SURGERY CENTER DBA PARKWAY SURGERY CENTER AT HORIZON RIDGE,10561 JEFFREYS ST SUITE 130,HENDERSON,NV,89052,,(702) 724-8900,96,3,1,98,89,9,2,93,90,8,2,95,87,12,1,95,,1302,301,23,01/01/2024,12/31/2024
29C0001138,ELKO COMMUNITY HEALTH CENTER LLC,2098 IDAHO STREET,ELKO,NV,89801,,(775) 389-5778,98,2,0,99,94,5,1,97,94,6,0,97,94,6,0,98,,828,197,24,01/01/2024,12/31/2024
29C0001139,QUEENSRIDGE SURGERY CENTER LLC,10040 ALTA DRIVE SUITE 250,LAS VEGAS,NV,89145,,(702) 640-0017,98,1,1,99,93,6,1,96,88,8,4,93,87,7,6,92,"3,6",213,55,26,01/01/2024,12/31/2024
29C0001142,ADVANCED SURGICAL CENTER LLC,7150 WEST SUNSET ROAD SUITE 106,LAS VEGAS,NV,89113,,(725) 245-1145,,,,,,,,,,,,,,,,,1,,,,,
30C0001014,DARTMOUTH-HITCHCOCK CLINIC,100 HITCHCOCK WAY,MANCHESTER,NH,03104,,(603) 629-8237,99,1,0,99,93,6,1,96,94,5,1,96,91,7,2,96,,2445,589,24,01/01/2024,12/31/2024
30C0001025,CONCORD ENDOSCOPY CENTER LLC,60 COMMERCIAL STREET SUITE 201,CONCORD,NH,03301,,(603) 415-9450,97,3,0,98,93,6,1,96,90,8,2,95,89,11,0,96,3,594,147,25,01/01/2024,12/31/2024
30C0001029,STRATHAM AMBULATORY SURGERY CENTER,4 B WEST RD,STRATHAM,NH,03885,,(603) 772-2076,97,2,1,98,89,8,3,93,86,7,7,92,82,7,11,88,"3,10",135,29,22,01/01/2024,12/31/2024
30C0001031,DARTMOUTH HITCHCOCK CLINIC,2300 SOUTHWOOD DR,NASHUA,NH,03063,,(603) 577-4180,99,1,0,100,96,3,1,98,94,4,2,97,92,6,2,96,,1646,423,26,01/01/2024,12/31/2024
30C0001042,NORTH ATLANTIC SURGICAL SUITES LLC,23 KEEYWAYDIN DRIVE,SALEM,NH,03079,,(603) 386-0272,99,1,0,99,94,5,1,96,92,8,0,97,91,8,1,97,,482,243,50,01/01/2024,12/31/2024
30C0001043,MINIMALLY INVASIVE SURGERY CENTER OF NEW ENGLAND,4 HAWTHORNE DRIVE,BEDFORD,NH,03079,,(000) 000-0000,97,3,0,99,92,6,2,96,89,8,3,95,89,8,3,95,,1040,265,25,01/01/2024,12/31/2024
30C0001044,ATLANTIC COAST SURGICAL SUITES LLC,325-2 LAFAYETTE RD,SEABROOK,NH,03874,,(603) 218-1793,98,2,0,99,95,5,0,97,92,7,1,97,90,8,2,96,,464,159,34,01/01/2024,12/31/2024
30C0001050,MASS GENERAL BRIGHAM AMSURG INC,30 TUSCAN BOULEVARD THIRD FLOOR,SALEM,NH,03079,,(857) 282-8001,99,1,0,99,96,3,1,98,95,5,0,97,96,3,1,98,,864,217,25,01/01/2024,12/31/2024
31C0001007,SUMMIT SURGICAL CENTER LLC,200 BOWMAN DR SUITE D160,VOORHEES,NJ,08043,,(856) 247-7810,99,1,0,99,94,5,1,96,95,3,2,97,93,6,1,97,,1112,288,26,01/01/2024,12/31/2024
31C0001035,BERGEN GASTROENTEROLOGY PC,"466 OLD HOOK RD, SUITE 1",EMERSON,NJ,07630,,(201) 967-8221,98,2,0,99,92,7,1,95,88,10,2,94,86,12,2,94,,1103,211,19,01/01/2024,12/31/2024
31C0001036,OCEAN SURGICAL PAVILION PC,"1907 HWY 35, SUITE 9",OAKHURST,NJ,07755,,(732) 517-8885,96,3,1,97,94,5,1,96,85,13,2,94,84,10,6,91,3,506,154,30,01/01/2024,12/31/2024
31C0001038,AMBULATORY SURGICAL CENTER OF MORRIS COUNTY INC,14 RIDGEDALE AVE STE 120,CEDAR KNOLLS,NJ,07927,,(973) 605-5151,98,2,0,99,93,6,1,96,90,9,1,96,91,8,1,97,3,664,250,38,01/01/2024,12/31/2024
31C0001046,ENDOSCOPY CENTER OF RED BANK,365 BROAD ST SUITE 2E,RED BANK,NJ,07701,,(732) 936-8303,99,1,0,99,95,4,1,97,94,6,0,98,94,4,2,97,3,419,151,36,01/01/2024,12/31/2024
31C0001052,HUNTERDON CENTER FOR SURGERY LLC,9100 WESTCOTT DR. STE. 201,FLEMINGTON,NJ,08822,,(908) 806-7017,98,2,0,99,91,7,2,95,91,7,2,94,86,12,2,94,3,508,132,26,01/01/2024,12/31/2024
31C0001067,TEANECK GASTROENTEROLOGY AND ENDOSCOPY CENTER,1086 TEANECK RD SUITE 3B,TEANECK,NJ,07666,,(201) 837-9636,98,2,0,99,86,11,3,91,90,10,0,96,90,10,0,97,"3,6",262,56,21,01/01/2024,12/31/2024
31C0001068,ENDO SURGI CENTER PA,1201 MORRIS AVE,UNION,NJ,07083,,(908) 686-9499,99,1,0,100,93,6,1,96,96,3,1,97,93,4,3,96,3,617,154,25,01/01/2024,12/31/2024
31C0001075,GASTROENTEROLOGY DIAGNOSTICS OF NORTHERN NEW JERSEY PA,"205 BROWERTOWN RD, STE. 102",WOODLAND PARK,NJ,07424,,(973) 890-4780,99,1,0,99,90,8,2,94,96,3,1,96,94,3,3,96,3,520,129,25,01/01/2024,12/31/2024
31C0001082,ENDOSCOPY CENTER OF OCEAN COUNTY,477 LAKEHURST RD,TOMS RIVER,NJ,08721,,(732) 349-4422,98,2,0,99,95,4,1,97,92,6,2,97,91,7,2,96,3,504,178,35,01/01/2024,12/31/2024
31C0001087,NJ VEIN & COSMETIC SURGERY CENTER,741 NORTHFIELD AVE SUITE 105,WEST ORANGE,NJ,07052,,(732) 383-4189,98,2,0,99,92,6,2,95,82,15,3,93,87,8,5,93,,351,109,35,01/01/2024,12/31/2024
31C0001088,ATLANTICARE SURGERY CENTER LLC,2500 ENGLISH CREEK AVE. STE. 702,EGG HARBOR TOWNSHIP,NJ,08234,,(609) 407-2553,98,2,0,99,92,7,1,96,91,7,2,96,89,10,1,96,,2193,547,25,01/01/2024,12/31/2024
31C0001095,OCEAN ENDOSURGERY CENTER,129 ROUTE 37 WEST,TOMS RIVER,NJ,08755,,(732) 797-3960,97,3,0,99,93,5,2,96,92,6,2,96,91,6,3,96,3,785,219,28,01/01/2024,12/31/2024
31C0001099,SHORE OUTPATIENT SURGICENTER LLC,360 ROUTE 70,LAKEWOOD,NJ,08201,,(732) 942-9835,98,2,0,99,91,6,3,94,90,8,2,95,83,15,2,93,,977,298,31,01/01/2024,12/31/2024
31C0001101,OAK TREE SURGERY CENTER LLC,1931 OAK TREE RD.,EDISON,NJ,08820,,(732) 902-2222,97,3,0,99,93,6,1,96,90,9,1,96,89,8,3,95,3,557,120,22,01/01/2024,12/31/2024
31C0001103,ATLANTICARE SURGERY CENTER CAPE MAY,106 CT HOUSE SOUTH DENNIS RD BUILDING 100,CAPE MAY CT HOUSE,NJ,08210,,(609) 465-0300,98,2,0,99,93,6,1,96,93,6,1,97,93,6,1,97,,921,298,32,01/01/2024,12/31/2024
31C0001108,NORTHFIELD SURGICAL CENTER LLC,741 NORTHFIELD AVE. STE. 102,WEST ORANGE,NJ,07052,,(973) 243-1062,98,1,1,99,94,5,1,96,90,9,1,96,86,13,1,95,3,540,121,22,01/01/2024,12/31/2024
